/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:8.2 CYCLES:475 ICOUNT:58 IHITRATE: 97.3 DHITRATE: 72.7
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:6.6 CYCLES:6841 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:6.5 CYCLES:6775 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.1
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:6.5 CYCLES:6700 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 99.5
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:6.5 CYCLES:6757 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.4
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:6.6 CYCLES:6829 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 97.1
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:6.6 CYCLES:6841 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:6.6 CYCLES:6835 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.9
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:6.6 CYCLES:6871 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.3
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:6.6 CYCLES:6781 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:6.5 CYCLES:6769 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.2
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small.asm SUCCESS CPI:6.6 CYCLES:6841 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_1.asm SUCCESS CPI:6.5 CYCLES:6775 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.1
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_2.asm SUCCESS CPI:6.5 CYCLES:6700 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 99.5
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_3.asm SUCCESS CPI:6.5 CYCLES:6757 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.4
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_4.asm SUCCESS CPI:6.6 CYCLES:6829 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 97.1
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_5.asm SUCCESS CPI:6.6 CYCLES:6841 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_6.asm SUCCESS CPI:6.6 CYCLES:6835 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.9
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_7.asm SUCCESS CPI:6.6 CYCLES:6871 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.3
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_8.asm SUCCESS CPI:6.6 CYCLES:6781 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_9.asm SUCCESS CPI:6.5 CYCLES:6769 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.2
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst.asm SUCCESS CPI:7.2 CYCLES:739 ICOUNT:102 IHITRATE: 97.9 DHITRATE: 86.4
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_1.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_2.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_3.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_4.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_5.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 77.8 DHITRATE: 0.0
